東照宮,35.9166527462,139.489468376
日枝神社,35.9182313325,139.4907221662
大沢家住宅,35.9246985704,139.4831256067
旧山崎家別邸,35.9220600613,139.4844484355
八坂神社社殿,35.9006334695,139.4594256797
川越城本丸御殿,35.9244259368,139.4915110008
古尾谷八幡神社,35.9042275329,139.5491469932
旧小山家住宅,35.9238318431,139.4828520766
平岩・矢萩両家住宅,35.9234886433,139.4828371031
小谷野家住宅,35.923410311,139.4828389853
宮岡家住宅,35.9233255831,139.4827910055
原家住宅,35.9232682714,139.4827548123
滝島家住宅,35.9232682714,139.4827548123
福田家住宅,35.92362556729143,139.4838766220158
小島家住宅,35.92275431706693,139.4826937489788
小林家住宅,35.9302215621571,139.48221631281018
塩野家住宅,35.92128653317002,139.4810306066725
松本家住宅,35.9217176780964,139.481627208538
松崎家住宅,35.921375555933324,139.48269549314895
山崎家住宅（仲町4-3）,35.92158953225023,139.48283699316556
山崎家住宅（仲町2-6）,35.921475998016895,139.48363326435066
原田家住宅,35.92144037881564,139.48439216441773
田口家住宅,35.92206851921498,139.48499897965297
時の鐘,35.92364522020857,139.48326526246043
薬師神社,35.92756226297766,139.5127983085381
服部家住宅,35.923422797187506,139.4829532489813
山下家住宅,35.92142769037163,139.48084489318722
岡家住宅,35.924876334218055,139.48321742198505
田中家住宅,35.921450726111516,139.48258050025996
広済寺,35.927927405412994,139.48205543452175
蓮光寺,35.882940613609506,139.52902677261983
吉田家住宅,35.91999490528787,139.48347354896865
斎藤家住宅,35.89169808123692,139.50431487967123
旧川越織物市場,35.920493435568304,139.48431953548288
旧栄養食配給所,35.92019522760399,139.4843064202061
宮澤家住宅,35.917558222237965,139.4780857913465
的場八幡神社,35.910295497278604,139.43237646435668
菅原神社,35.89502679876464,139.45551935215673
砂新田春日神社,35.892529970128976,139.49070224898267
木野目稲荷神社,35.898391411308445,139.51901313550698
鴨田八幡神社,35.92731129063052,139.52033833548083
山田八幡神社,35.94621154360703,139.48173362199805
寿町白山神社,35.90661616758664,139.46943796431688
大袋白髭神社,35.90027309663852,139.44604309135056
元町2丁目六塚稲荷神社,35.92550215634872,139.48061446615864
新宿氷川神社(雀ノ森),35.90322083070118,139.47909574811274
砂久保稲荷神社,35.88498503527087,139.4857767066912
笠幡白鬚神社,35.905454361458204,139.40282297780666
上戸日枝神社,35.93198741352612,139.44387372202686
埼玉県立川越女子高等学校明治記念館,35.91571422821781,139.47912986989627
笹原門樋,35.924972310121454,139.52910962201216
沼口門樋,35.92570284380388,139.5169677219909
三軒家樋管,35.88221712948829,139.5436164066307
下小坂古墳群(北久保古墳),35.947749571469046,139.45023195358905
三変稲荷神社古墳,35.91518772051518,139.49436909584173
延文の板碑,35.917210413948546,139.48934856511895
川越城跡,35.92515863961806,139.49159640991465
暦応の古碑,35.917382928433945,139.48939601118332
大堀山館跡,35.95790327491557,139.43271489471658
小仙波貝塚,35.91761089455952,139.49688001118326
仙波氏館跡,35.909726467425905,139.4946275246769
烏頭坂,35.90076476550547,139.48773582514846
岩田彦助の墓(養寿院),35.92417274105849,139.48082789584205
安井政章の墓,35.92196472894765,139.4784528516651
西川練造の墓,35.9172625112853,139.49166455636572
川越夜戦跡,35.92865576281007,139.4844493093363
高林謙三の墓,35.91763992781282,139.49188085351253
松平周防守家廟所,35.91407238284385,139.49024948050035
松平大和守家廟所,35.91756361689368,139.48855848234797
中院,35.91515997335276,139.4903736997061
新河岸川河岸場跡,35.89234775899538,139.50419105579383
砂久保陣場跡,35.884997091623305,139.4856775111818
水戸藩十九烈士埋葬の地,35.927734863309254,139.4819477871946
舟塚古墳,35.94571146058624,139.5292747805016
浅間神社古墳,35.90445533331444,139.48893262516387
赤沢仁兵衛の墓,35.8833631885815,139.47392229584037
志誠の墓,35.936452082705685,139.50012342530593
蓮馨尼の墓,35.91941350091344,139.48189489584192
永島家住宅,35.920837008622236,139.48749688234818
奥貫友山墓,35.89694221597279,139.53309983817027
万葉遺跡占肩の鹿見塚,35.90351054283755,139.4888661651582
中島孝昌墓,35.92688576908336,139.48239329768978
高山繁文墓,35.92615493132818,139.47966489584226
出世稲荷神社のイチョウ,35.921529738539654,139.4845139905947
鯨井のヒイラギ,35.93528299382846,139.44698591118402
下小坂の大ケヤキ,35.95128744645571,139.46112713817274
古市場のヒイラギ,35.89067063374181,139.5270537381699
砂氷川神社,35.89279361300337,139.50144321118216

